Pressure_V	Force_N
2.086622	260.836709410411
2.236434	338.631278475262
2.323421	379.288979811041
2.315044	376.534557189018
2.287015	342.752044975334
2.326642	368.18141276893
2.367881	384.549225133591
2.327931	405.625528594946
2.338241	429.477801960477
2.349839	430.698618842442
2.026698	206.441123351716
2.132371	268.390976301369
2.210337	283.297207325377
2.320199	329.916090371768
2.261241	336.850543328066
2.268973	344.624591320644
2.297647	359.746365705527
2.182308	285.06593110122
2.555709	485.446300906985
2.191973	279.570898689416
1.948409	175.649371604855
1.975794	198.349914478047
2.05666		209.929958083727
2.087589	229.673177004681
2.025409	216.079516740162
2.061493	212.972231564042
2.030242	201.989881444765
2.09661		238.705872601241
1.979338	205.742684393683
2.051827	212.303264791672
2.129472	250.225786085009
2.295714	328.40177500091
2.26994		312.664254519548
2.365948	356.717846138383
2.28927		327.142948155306
2.267684	300.857658699383
2.33663		333.794773624038
2.318266	335.61857174016
2.377224	363.183113181091
2.359504	348.603355108362
2.283471	327.455603903884
2.45519		413.401789710583
2.409764	407.884427337246
2.384956	401.932481505784
2.442948	373.94177026817
2.320521	325.500730194125
2.47001		376.344972097556
2.409441	371.575833010946
2.394621	381.608967603442
2.623688	482.687210564213
2.118518	245.777575439614
2.190685	267.647943769922
2.214848	265.24850622883
2.182308	269.816025477506
2.481608	413.89139868773
2.090811	207.269319353715
2.642051	485.898910819771
2.438437	368.87916328346
2.795407	563.554510351563
2.166199	233.538333187561
1.830493	131.488660880449
1.877209	141.776096549682
1.929723	168.570277644131
1.971928	181.366391417391
1.988681	174.381612902658
1.968706	162.835528464564
1.900728	145.3030693309
1.936489	160.466011990683
1.928435	155.278959242611
1.9381		147.489888322821
2.143003	244.095873115398
2.175865	261.562496615716
2.268007	272.656738540195
2.282827	304.352033505247
2.270584	269.191474957664
2.229024	270.161289752079
2.246743	289.994870005486
2.283149	282.353421817793
2.32181		290.694621694025
2.451324	386.715776554427
2.360149	321.688928062289
2.4626		379.144429492019
2.486441	379.981890317818
2.525102	376.530786337135
2.469688	396.104972655523
2.347584	362.127272356319
2.41073		362.186054521892
2.549265	404.554072964503
2.367559	333.122659355458
2.401387	367.148007812575
2.361437	327.890032535724
2.119162	209.369443133145
2.118518	201.243849314659
1.981916	157.908869966548
1.990614	184.177746128837
2.172643	208.377927489766
2.125283	209.934292610051
2.128505	213.25150970363
1.993514	174.902455446846
2.20035		247.264229758932
2.21807		238.924925831181
2.331153	274.514667579346
2.331153	317.940848031995
2.327931	300.588715934747
2.328253	304.419005522608
2.246421	267.698234160188
2.387533	303.725285450701
2.365303	304.518968684269
2.454868	327.000294458205
2.389467	327.096517530961
2.411697	344.725894612219
2.346939	343.024370402731
2.530257	369.547885802195
2.389467	347.323463789836
2.520269	386.313358463894
2.479031	370.674425509733
2.508349	373.916948113948
2.549587	395.930488473132
2.605001	400.762688790054
2.694888	455.523701159602
2.082756	188.148432398151
2.135593	209.419622486663
2.359826	320.822116248899
2.025087	164.47984713793
2.401387	366.295486055378
2.133015	209.176648752839
2.659127	412.367010161876
2.154279	211.384068660052
2.242233	254.73915046897
2.3856		352.096635242113
2.206471	237.492922791873
2.316977	263.153837241729
2.323743	319.877871632643
2.336952	294.810695969404
2.429416	318.26746207204
2.48773		367.725825931283
2.451968	333.394051455794
2.462922	334.92572441082
2.464533	352.736079799827
2.552809	371.817884319078
2.413952	323.797984727871
2.365948	314.206629503169
2.512859	341.93916317689
2.493529	344.560394189506
2.446169	299.853543764631
2.446491	358.857829770498
2.510282	433.277128906428
2.635608	444.907367849918
2.699076	521.394069502914
2.93072		614.196659345405
2.471943	341.376320758752
2.508349	389.384685883158
2.531868	401.800052001634
2.651395	421.457573801891
2.822147	479.444543802344
2.649461	368.846455682424
2.648173	437.33186124154
2.51737		340.031409493506
2.59598		402.792561760696
2.727428	404.282750972376
2.055694	166.620996237422
2.087589	167.18746014125
2.021865	161.498681131018
2.034108	176.600455914456
2.136237	185.296016661206
2.122062	179.257073377301
2.192618	216.237365732067
2.235789	209.26721874011
2.049572	167.859833874486
2.291203	214.320513501512
2.166844	202.572816261562
2.237078	218.681586349554
2.401065	268.831829445143
2.300546	235.266315756595
2.283149	236.492520672873
2.394621	308.622609062016
2.367236	258.586971091268
2.514792	297.26706039141
2.330509	242.959487771208
2.584382	341.907245560951
2.264463	255.823733758195
2.483219	363.497451308135
2.688445	411.548981418889
2.667181	413.327858065322
2.753202	450.385974644656
2.823114	470.795675468559
2.714219	467.120553103307
2.693277	469.871814242469
2.82698		517.39327086849
2.731616	532.192319942258
