Force		Mass
269.0047851	35.1
317.7417299	81.4
300.7733712	86.2
192.455354	28.9
186.3866704	13.4
147.0600037	27.1
174.5687076	27.5
161.5929039	36.6
117.8345011	15.1
79.1466431	6.2
197.60575	45.9
133.4054656	11.4
378.1518337	42.5
451.7101	77.6
514.4059987	103.4
216.4291077	5.8
103.1124667	12.9
396.2909331	61
279.441386	44.6
77.96028528	15.8
113.6057247	26.1
105.8016936	16.8
184.6329539	36.9
184.6329539	26.9
49.9079572	1.8
77.5911757	20.4
207.5704778	40.8
91.35369004	6.5
283.0270219	57.1
163.5937078	40.1
87.66259424	19.2
50.962556	22.3
37.5164213	0.7
