Pressure_V	Force_N
1.830493	124.547488127329
1.967418	186.952186516649
1.95002		177.186263851452
1.884941	159.767688874603
1.974183	189.769770203771
1.921991	165.881683156599
1.932945	164.305511092165
1.889774	156.411257779736
1.865288	143.275861092069
1.919091	161.100984751438
1.932623	168.218596041011
2.174576	265.630880327093
2.260919	289.592208821204
2.217425	265.409864873776
2.174576	246.436359409496
2.162011	262.160169513922
2.25512		285.61485280565
2.249965	269.628049270731
2.193906	246.836118448478
2.288626	302.305475715335
1.815029	109.435340785399
1.892351	143.535678780309
1.989648	174.376814655243
1.950987	169.782174498896
1.984493	179.519135703104
1.954531	175.515224502834
1.913937	156.882939267454
1.948732	166.582991118988
1.963229	179.181636690395
2.093388	223.814919160957
1.984171	198.542621901414
2.234178	304.908742725979
2.352416	339.796437434089
2.339529	330.317948754958
2.242555	278.68576486466
2.351772	322.2985140142
2.303124	304.371697292459
2.335986	330.525403124227
2.365303	375.893798949593
2.334375	337.918514650484
2.19294		279.069038580576
2.52478		465.590726630799
2.582127	456.96496264989
2.670725	524.867414275671
2.684901	556.086680439692
2.59888		465.12410420507
2.647528	481.167587625787
2.697466	537.736346485383
2.777687	579.82204421671
2.778654	586.205235235884
1.932301	162.740407522564
2.032497	204.238835366737
2.168777	344.134725969619
2.122706	224.643148824624
2.198095	266.41397735582
2.331153	334.68414237339
2.376902	344.639864277624
2.291203	314.297818261282
2.384312	383.873014628721
2.37078		337.697028023862
2.000279	192.289862866698
2.215814	281.727706133606
2.243199	299.14325839797
2.346939	341.693500544355
2.358216	371.837269675677
2.387856	326.223178184325
2.528646	431.109417044915
2.418784	345.664016424955
2.461311	384.208947185746
2.66847		430.464161693087
1.804075	107.995704352131
1.902661	152.127735609931
2.108852	211.739261266339
2.076635	207.678196318492
2.008978	182.965076508351
1.907493	134.595197744089
1.830171	122.205689332141
1.828883	117.096354557563
1.891062	141.445509648233
1.930045	157.596543954099
2.00189		232.490375052937
2.021543	258.054827776735
2.090811	266.861284754405
2.104986	287.430691458212
2.100476	283.952155695502
2.130438	299.773158481226
2.076313	276.28611657229
2.164911	355.205557228936
2.162333	316.392988984552
2.310534	425.381265355997
2.547654	578.601113422303
2.820858	744.960718798489
3.076987	845.146593489408
3.059268	813.825133046995
2.99741		732.797649887355
2.964548	769.419271565805
2.999665	798.60266300703
3.016418	757.550084450436
2.994188	634.568953594116
3.026406	880.27094236865
1.94261		175.142050302286
1.914259	157.297895959686
1.897828	157.28816562743
2.020576	198.365727396912
2.032175	202.92817055957
1.995769	186.608331489764
1.932623	165.37987553038
1.991903	183.716062291013
2.042484	223.78845594417
2.124639	239.244728617037
2.037007	205.752832874945
2.122706	259.025355961409
2.229668	278.625120155983
2.376257	345.656605941795
2.411697	389.441639366877
2.401709	346.247239931586
2.448102	370.617719995146
2.466788	465.94796947096
2.488052	438.839030805109
2.381412	383.541213159477
2.234823	291.534120745802
2.416851	391.174303420607
2.531546	454.875581033334
2.610478	476.224877012452
2.614022	463.418174993361
2.664282	539.142653175886
2.528324	444.472558081172
2.688767	529.637036131141
2.777365	541.10633889722
2.738382	529.561017771703
2.346939	355.160775195666
2.362404	322.283565372382
2.43586		364.513128481115
2.394943	328.420619734857
2.335019	299.186128654672
2.524458	422.431668234791
2.441337	378.575875066919
2.445203	409.427849792702
2.62852		422.195561674928
2.816348	504.759311625206
2.067292	216.250378856694
2.17522		273.442700386647
2.16781		268.377350637379
2.156856	243.610883167852
2.172965	251.324176022327
2.176831	260.477313013104
2.256086	289.238962640513
2.240622	270.427113825123
2.32632		321.1560753313
2.52188		407.997772164827
2.166199	256.521105218391
2.26704		315.46160517752
2.314078	379.144722201606
2.282827	301.520333821756
2.372391	370.248404412231
2.339529	348.458536782692
2.316655	339.616526037385
2.332764	357.933747512131
2.343396	395.808999437034
2.41814		421.584579438298
2.138815	238.047987349534
2.179409	259.750721832316
2.282182	283.009429962068
2.260919	308.723464168464
2.213237	257.774466962722
2.291848	325.308509691542
2.319555	310.395970783767
2.297002	339.219486295826
2.36337		369.062414150576
2.498684	397.469773873324
2.105953	221.961621786168
2.224513	318.943818360242
2.323421	330.302163451576
2.253187	302.927022833066
2.20776		268.967750421776
2.29217		332.032538469852
2.261885	333.646541401224
2.363693	328.876867873187
2.381734	359.864467344501
2.431994	370.497923557205
2.095643	221.913050175446
2.281216	330.779467536356
2.421362	436.399310315155
2.467755	398.475394992182
2.483864	428.866727685973
2.575361	490.100820596177
2.556353	432.840245856372
2.605646	475.571862549219
2.634641	508.055859503549
2.602102	510.352072524773
