Pressure_V	Force_N
2.071802	197.529860114955
2.136559	242.457196924718
2.202927	251.39265075583
2.225157	260.341546884348
2.182308	272.214320180161
2.235467	256.82135096582
2.298291	313.81691861975
2.186819	215.389660815842
2.258986	272.172267791903
2.272195	339.556422063564
2.21968	287.671918359655
2.287981	340.368850216169
2.423617	408.610257379366
2.284438	301.636452830384
2.386567	417.402468579475
2.373036	406.20192475132
2.483542	440.565565719591
2.461956	447.652886685747
2.453901	446.482763622312
2.550554	500.487895005829
2.444881	413.842470479879
2.631742	477.565725108178
2.577939	498.457382759727
2.645595	529.375360020435
2.632708	536.280232826272
2.747403	552.107547073697
2.720018	548.112257009755
2.744181	583.881473929603
2.754168	591.724041247288
2.684901	542.151861787312
2.283793	298.556183596702
2.302802	287.545890886309
2.308278	339.305651850181
2.463245	379.976628573331
2.347584	329.812314548019
2.37368	330.598670037369
2.374324	322.390267335945
2.408475	338.910000626605
2.449391	388.948024170664
2.368525	390.325692321364
2.309889	305.217684606076
2.474521	399.174404517624
2.516403	412.129609102091
2.578583	457.811436580784
2.626587	482.114568613941
2.632386	450.402538649304
2.773177	531.423502075886
2.808294	525.589548021061
2.797984	557.801499654783
2.944251	620.823790809918
2.520592	409.864619981982
2.729683	530.63586983947
2.869507	603.820567196236
2.867252	577.802823771791
2.911712	600.519864637647
2.844055	610.318408242645
2.969381	641.909381884398
2.876595	647.871638036392
3.032527	699.003656466424
3.067966	719.715532448373
2.161367	242.606435223677
2.260919	300.320035555643
2.241588	293.021356178101
2.256086	288.447305091074
2.354027	318.813454644592
2.36627	361.031723579894
2.315366	302.754035839872
2.354994	332.483206971504
2.385923	355.595246265836
2.424261	391.823228494052
2.437471	366.770358486948
2.547654	398.11619540448
2.74547	487.264169249854
2.58406	442.138560895993
2.585027	445.702571007732
2.675558	459.349203800908
2.699399	508.284464574733
2.731294	487.431925992662
2.678457	447.323359126711
2.793474	494.973634845306
2.531546	431.565623390967
2.746758	547.339259999585
2.896892	594.859013209324
2.814093	535.678986838102
2.796695	575.181914546315
2.893348	616.996035882706
2.908168	665.79768824462
2.941674	614.688187084578
2.81216	581.057671537147
3.072477	675.228471090426
2.09661	198.490416420264
2.19294	246.731546904264
2.32922	303.37740110404
2.460023	377.182552995869
2.51737	404.830202109936
2.50255	396.455432118862
2.584704	422.368475209098
2.599847	455.388916816759
2.612734	413.284120434419
2.497717	349.950588741465
2.209049	315.847975156004
2.374969	370.461082892949
2.44037	392.086462041769
2.464533	407.084892536633
2.521236	439.091927970926
2.381412	372.882913101556
2.409119	362.748319477599
2.489341	423.577112859624
2.328253	356.090519344972
2.55152	465.81177088027
2.45809	373.944513041612
2.563763	402.357046620264
2.446814	393.541525993591
2.573428	447.784235452436
2.605646	468.420337778225
2.51737	418.91034698861
2.713574	488.488603265341
2.621432	488.686908898261
2.548943	503.301912052188
2.640441	561.768182317684
2.520592	394.560497298468
2.586315	410.527937157365
2.637541	428.900503692388
2.588893	455.670251213563
2.59437	448.525979167257
2.660093	463.545879462386
2.708419	462.876534933518
2.624976	465.226568074234
2.754813	513.473281049573
2.672658	539.304538498546
2.390755	348.807937085132
2.495462	393.71799747645
2.696821	483.514243976872
2.473876	386.540817630534
2.584382	445.290541261864
2.603713	445.140670457994
2.657194	489.726437584184
2.799595	545.925346894586
2.98259	603.690788951102
2.965837	543.930730946636
2.739348	471.174084470392
2.772532	496.0549554804
2.815704	520.369531517084
2.812804	540.388324122025
3.012875	563.477205078084
2.895603	534.224540360815
2.844055	530.265376284147
3.01513	611.955913008419
2.74547	560.403540710025
3.042192	641.837679641922
2.652039	502.473804572471
2.98259	599.989559604175
3.030916	669.312493772253
2.71744	535.993766957216
2.701009	559.747893757593
2.87885	566.798005953764
3.033494	605.052020177483
3.064422	597.025912069174
2.954561	604.262716878869
2.870795	612.139200932812
2.81216	554.059766472251
3.117581	661.658020146823
3.211012	728.463071869362
3.021251	716.731276842551
3.012552	688.298269956537
2.926532	703.81360697602
3.179117	719.753993196026
3.288334	772.386959176249
3.191359	788.906021675009
3.310564	817.258117562926
2.295714	288.338123932551
2.263174	273.00602641538
2.420395	340.95391487791
2.423617	349.460862527841
2.321165	334.438992971437
2.301191	308.46117887581
2.311822	356.883217024046
2.353061	324.364614366037
2.436504	355.319459942855
2.571173	390.739263865758
2.668148	443.723602529191
2.723562	488.952757201691
2.773821	501.297759158794
2.8389	519.882175395548
2.847599	511.038996194571
2.888515	532.649735469648
2.731294	473.172843636753
2.766089	457.075995991556
2.529612	516.398687187682
2.776398	575.280220846508
2.9159	586.612690526716
2.877239	582.825656672259
2.982912	660.794235498484
3.114682	704.109598892389
2.95295	672.764052017644
2.979691	664.625176005079
3.137878	768.787247884795
3.37661	802.635972630959
3.273514	762.396681592451
3.085364	732.363615396814
2.795729	509.157126766514
2.823758	587.317292670847
2.620788	464.695067624692
2.738704	497.141130752226
2.655261	443.465007336885
2.547654	381.731524441189
2.643985	434.36400957143
2.689411	414.363695859605
2.679102	437.595291752668
2.788641	512.934788561647
2.612089	412.782118444458
2.828591	485.836456737049
2.762545	508.194820260302
2.785741	531.314624246588
2.561186	402.296034816879
2.718407	491.518125364916
2.647206	456.154462863537
2.593403	391.115052959405
2.582771	426.107130522766
2.749336	540.837773164226
2.667825	439.451041556998
2.738382	514.849455405721
2.75739	515.438972244588
2.980335	573.473369137475
2.993222	569.693077144892
2.773177	530.777464233173
3.025762	586.831165348245
2.885293	604.72884962609
2.928465	585.514380999052
3.264171	690.970758097422
