Trial,Force,Mass,Acceleration,velocity,Angular_acceleration,angular_velocity,Wrist_angle,FP,Force_all,KE,EPA,PD,Condition
23,509.0400946,54,-25.16461359,1.810062572,,,,785.4811,,1.562807748,,,Anvil_foam
24,,,,,,,,,,,,,Anvil_foam
25,499.3735456,29,-30.59513757,2.337136211,2138.426534,88.5799838,1.894018128,1.27E+03,,2.605472105,,,Anvil_foam
26,,,,,,,,,,,,,Anvil_foam
27,342.093834,136,-24.00272435,1.847348698,,,,711.3975,,1.62785657,,,Anvil_foam
28,490.047982,28,-23.65448173,1.853724561,2627.726129,131.9582546,3.538937532,727.1916,,1.639112594,,,Anvil_foam
29,487.5460102,41,-21.98336514,1.730849713,5177.746657,195.4418189,8.111822701,756.4381,,1.429016027,,,Anvil_foam
30,463.7779835,14,-20.66499171,1.709543182,2397.066589,132.1260794,4.29444725,854.505,,1.394050574,,,Anvil_foam
31,518.3653051,25,-24.7844273,2.012295255,4143.642895,104.4802576,1.406153794,532.8356,,1.931531456,,,Anvil_foam
32,523.7102343,30,-28.63270348,2.449380694,2734.081032,141.6737037,4.180389121,1.05E+03,,2.861745178,,,Anvil_foam
33,414.3082674,84,-29.7961218,2.352566716,4217.411359,195.3730632,7.002102831,775.4429,,2.639989962,,,Anvil_foam
34,563.8547398,68,-29.26249395,2.392699063,,,,1.01E+03,,2.730829201,,,Anvil_foam
35,585.6894567,21,-26.44234942,1.944676763,,,,989.1553,,1.8039032,,,Anvil_foam
36,442.966576,41,-29.10378639,2.136468868,,,,693.6486,,2.177266129,,,Anvil_foam
0,,,,,,,,,,,,,Anvil_rubber
1,438.7589709,195,-28.16283032,2.176469865,6744.426259,306.0783091,13.24120721,534.1866,,2.259559052,,,Anvil_rubber
2,301.4946812,84,-23.91837562,1.758890219,4034.784142,165.3174715,6.544157471,445.874,,1.47569242,,,Anvil_rubber
3,514.839671,106,-22.02067703,1.568748074,2467.944685,122.5487678,4.466063572,554.6465,,1.173882938,,,Anvil_rubber
4,279.3186259,47,-20.34889666,1.424813328,,,,504.9659,,0.968354371,,,Anvil_rubber
5,270.1067241,99,-19.43131021,1.32434758,,,,370.3872,,0.836608636,,,Anvil_rubber
6,315.1415116,121,-21.69104867,1.755312782,4536.032214,238.609381,9.481610283,326.1887,,1.469695654,,,Anvil_rubber
7,,,,,,,,,,,,,Anvil_rubber
8,412.0336192,141,-20.78559424,1.616620088,1575.030998,112.4509037,6.3940901,479.2856,,1.246620663,,,Anvil_rubber
9,493.1186159,205,-17.14010038,1.173774407,,,,582.4346,,0.657185012,,,Anvil_rubber
10,329.6979895,125,-22.60311406,1.766264246,,,,464.3384,,1.488091838,,,Anvil_rubber
11,249.8639786,53,-17.10204406,1.33876672,,,,458.0932,,0.85492535,,,Anvil_rubber
12,276.9303158,71,-18.26621677,1.36244767,,,,497.9946,,0.885437762,,,Anvil_rubber
13,298.3103854,78,,,1515.266309,103.6395048,4.57501549,463.3389,,0,,,Anvil_rubber
14,414.0809438,128,-17.34435892,1.342227072,2380.812741,44.07484492,1.600391505,376.1764,,0.859350565,,,Anvil_rubber
15,454.2250963,40,-24.32264037,1.891097004,,,,937.6646,,1.705870238,,,Anvil_rubber
16,416.1279154,140,-27.65082488,2.633513813,3694.56683,155.9444371,7.605366513,712.642,,3.308183418,,,Anvil_rubber
17,302.7456671,74,-20.77943259,1.869313062,,,,391.2687,,1.666796041,,,Anvil_rubber
18,394.9751694,13,-17.96417292,1.255578878,,,,830.6099,,0.751980158,,,Anvil_rubber
19,280.5696118,6,-20.49367958,1.559910393,2239.164761,147.5418811,6.607159721,393.5929,,1.160693848,,,Anvil_rubber
20,507.7891086,170,-23.17313059,2.163681714,2682.191131,153.1603386,8.274250528,623.3224,,2.233084354,,,Anvil_rubber
21,354.8310169,126,-18.64971988,1.510488948,5068.946657,319.5023915,18.68704716,417.6133,,1.088312163,,,Anvil_rubber
22,390.4262259,29,,,,,,,,,,,Anvil_rubber
23,412.0336192,16,-21.42874409,1.729645147,,,,640.0577,,1.427027703,,,Anvil_rubber
24,397.3634795,172,-24.91876249,2.153556838,,,,482.8565,,2.212233965,,,Anvil_rubber
25,343.2311581,112,-21.64707513,1.645344996,1878.979215,117.7669683,4.367041616,369.1184,,1.291315394,,,Anvil_rubber
26,371.8894666,48,-22.8854869,1.822741699,3720.108226,234.5844503,8.803748837,509.3222,,1.584778743,,,Anvil_rubber
27,,,,,,,,,,,,,Anvil_rubber
28,,,,,,,,,,,,,Anvil_rubber
29,,,,,,,,,,,,,Anvil_rubber
30,504.8321365,189,-25.28729811,1.865524938,3596.83793,222.990329,7.705557801,551.8707,,1.660047431,,,Anvil_rubber
31,404.1867182,141,-28.32280812,2.347796939,,,,506.6876,,2.629295772,,,Anvil_rubber
32,,,,,,,,,,,,,Anvil_rubber
33,,,,,,,,,,,,,Anvil_rubber
34,334.9292568,119,-25.10373383,1.938809244,4839.839225,204.3014913,7.786790248,490.6914,,1.793034072,,,Anvil_rubber
35,271.4717249,19,-25.88675122,1.942744782,2555.975524,157.4174327,9.0562018,415.5318,,1.800320726,,,Anvil_rubber
36,295.6947518,37,-24.4274045,1.934104921,4166.007385,131.4578606,4.408585335,416.9239,,1.7843434,,,Anvil_rubber
37,490.5029823,201,-24.4071188,2.008813095,2382.083724,124.5531949,5.436533371,590.3385,,1.924852434,,,Anvil_rubber
38,323.7843983,55,-25.39002259,2.169217292,2831.966607,181.0122079,9.332130256,504.5216,,2.244525246,,,Anvil_rubber
39,506.99277,205,-27.23454412,2.196491565,3839.174105,157.7673191,10.500353,584.3973,,2.301322368,,,Anvil_rubber
40,371.8894666,130,-27.09076001,2.036613331,,,,502.9366,,1.978497672,,,Anvil_rubber
41,363.7012272,142,-26.31746926,2.085284108,4570.602481,188.5890319,10.82370344,516.7085,,2.07419148,,,Anvil_rubber
11,214.1551078,38,-24.71803184,2.028846941,593.8121892,57.37268378,4.324280216,,,1.963436896,,,Freehand
12,391.5635501,213,-24.51310982,1.774416154,,,,,,1.501859631,,16.93,Freehand
13,210.7431354,58,-23.99258862,1.8427766,,,,,,1.61980881,74,10.03,Freehand
14,280.1146116,115,-23.30226278,1.669646214,4045.25165,184.5376884,8.969033391,,,1.329741714,51,23.87,Freehand
15,313.4355254,88,-23.21787201,1.654090992,1160.92783,82.57494837,4.064161465,,,1.305080114,53,,Freehand
16,227.8015852,64,-23.99422086,1.771375282,1822.225292,143.1344821,9.690760901,,,1.496716476,59,,Freehand
17,269.3107384,130,-23.60128366,1.921306615,1219.149988,106.2441755,8.883956379,,,1.760806915,57,,Freehand
18,196.8689814,11,-24.04766692,1.914142668,570.8523144,55.27174565,2.91525173,,,1.747700407,54,,Freehand
19,280.5696118,31,-23.24355738,1.718972017,,,,,,1.409470508,57,,Freehand
20,,,,,,,,,,,54,,Freehand
21,362.7915797,235,-25.61790381,2.115089088,,,,,,2.133908083,62,15.99,Freehand
22,312.1845395,144,-22.99624189,1.496642788,4474.884291,137.8410006,8.576008069,,,1.068451205,,15.28,Freehand
23,198.5749675,63,-24.73433942,1.967328387,1669.528836,131.8713616,8.463610309,,,1.846171729,,15.33,Freehand
24,263.1698236,104,-23.01954178,1.71866211,3157.5364,115.9509113,7.801160868,,,1.408962336,62,19.68,Freehand
25,163.2067291,23,-22.47685792,1.587212022,1128.517197,87.45266562,4.827622325,,,1.201678436,,11.3,Freehand
26,122.7212381,18,-20.02109256,1.388219336,,,,,,0.919251945,82,10.8,Freehand
27,252.9346126,127,-22.71511381,1.572799782,1262.726075,78.31244193,3.004471934,,,1.179954497,,16.29,Freehand
28,155.8148283,70,-19.01632899,1.207409078,3954.897278,125.5692489,5.625478088,,,0.695388097,52,13.85,Freehand
29,195.7316573,66,-23.372571,1.631269113,,,,,,1.269315564,,9.98,Freehand
30,131.250463,28,-20.72178808,1.557151713,,,,,,1.156592134,63,,Freehand
31,195.7316573,25,-22.56994205,1.516390931,,,,,,1.096833575,65,,Freehand
32,196.3003193,56,-21.11775218,1.54423835,1845.518189,129.3845476,8.303186852,,,1.137488583,,15.8,Freehand
33,215.7470791,166,-21.95428007,1.732091815,909.088632,81.67300217,4.728673247,,,1.431067761,,,Freehand
34,184.0181367,102,-19.61201406,1.320941082,627.1209754,57.34292774,3.299099555,,,0.832310308,,,Freehand
35,179.2418696,43,-18.23937893,1.25681615,659.2403365,50.50835476,2.360702991,,,0.75346292,,10.27,Freehand
36,197.8926437,61,-19.08202748,1.363533939,1022.94334,32.67867769,0.643233564,,,0.886850231,,9.82,Freehand
37,207.6728545,89,-22.72816254,1.604407654,,,,,,1.22785711,,,Freehand
38,230.8722191,81,-19.13986879,1.34872623,,,,,,0.867692785,,23.5,Freehand
39,228.7115857,94,-19.61967202,1.284491574,,,,,,0.787011174,,12.71,Freehand
40,117.7172944,42,-19.91656167,1.27259103,,,,,,0.772495743,,,Freehand
41,,,,,,,,,,,,,Freehand
42,196.5276429,93,-22.36059928,1.62868498,,,,,,1.265297242,,,Freehand
