Pressure_V	Force_N
2.10402		318.034273401758
2.24481		404.702305821835
2.116262	260.685702509687
2.058593	258.370092230708
2.119162	260.811405773485
1.993192	247.212325385551
2.135593	279.853655398401
2.177153	283.382988548763
2.144614	256.300079588653
2.081468	280.281688725447
2.055694	250.635391657158
2.170066	355.809269883257
2.217103	352.424565544997
2.207438	365.56863997615
2.26994		373.349075995913
2.201316	350.787732029009
2.226124	400.694645643165
2.236434	367.272250806389
2.248998	371.43119590013
2.180697	374.368451922015
2.403642	415.545569248305
2.504483	456.113629873195
2.339852	426.27570315377
2.249321	411.276513436597
2.460989	442.753291917211
2.3914		431.504998238646
2.403642	410.529420133258
2.35145		455.760113115324
2.402998	456.668312080239
2.416529	454.627251252701
2.019288	186.182926948891
2.031208	203.837830282405
2.087589	232.919921179159
2.039907	222.657947781277
2.071802	215.75006887953
2.000602	226.874460384446
2.0122		210.033476230007
2.068581	217.401379117063
2.013166	224.007489867621
2.014777	251.265762760895
2.060526	276.617395013356
2.141392	318.34445839844
2.216459	370.443534204899
2.22548		375.855508989553
2.144292	333.280241960918
2.343396	384.714719832663
2.279927	373.150237786999
2.207116	352.533804302996
2.20035		355.571159592611
2.394299	400.756808358797
2.131405	315.216366474203
2.355638	447.990456838763
2.415885	428.597064916691
2.324709	452.231446159003
2.453901	406.847962690853
2.479998	471.698416692166
2.425872	471.011993584126
2.451002	475.512028765496
2.459378	475.155081578664
2.590504	524.180377705988
2.036363	229.787796415878
2.205505	350.39021944433
2.060204	253.34814071943
2.036363	247.665939113588
2.391077	368.499219731137
1.948087	183.88815969982
1.944865	190.398232710931
2.243199	288.258882014298
2.0151		243.073344732573
2.199706	284.224508809125
2.056338	251.243472821297
2.005434	234.878238519011
2.20035		261.381262842225
2.212915	295.570223085123
2.014133	264.622579960342
2.004468	254.330650128321
2.185208	304.644013003611
2.360471	379.339639063564
1.8611		163.884298807205
1.960652	193.372480310029
2.055694	221.908433871444
2.045384	284.260032184564
2.023798	236.486888704739
2.036685	259.882021386766
2.114974	286.355875414427
2.199706	288.153784339777
2.208082	300.629957307864
2.312789	330.907990550128
2.250609	306.517236373456
1.971928	189.851680104452
1.901694	153.981294493847
1.920058	157.558371814265
1.974183	177.267227812005
2.021543	193.227259575754
2.051827	196.740371544094
2.051827	200.745731644879
2.055371	201.432032614922
2.033786	188.472612655795
1.995125	210.223801195404
2.023154	190.670839241928
1.947121	208.056228779764
2.021221	241.159962206383
1.993514	248.14897347452
2.175865	294.448368998526
2.093066	254.50174877252
2.241266	296.132419760878
2.110141	293.556664051629
2.213881	300.1207055104
2.217425	348.337110396436
2.214203	358.339554575801
2.321165	427.5157981899
2.475809	460.93263118916
2.541855	473.588256890137
2.662348	513.755976527125
2.679424	533.320199801064
2.480964	531.486444556884
2.568273	541.064177464294
2.705842	556.573398495495
2.438759	471.595613304864
2.758357	537.370748289258
1.867544	195.4903486993
1.99738		249.227718143975
2.033141	266.455225671748
2.005756	241.600643559453
1.904916	185.993461200161
1.932301	213.991058237352
1.980949	216.423337690045
2.006723	232.153543022683
2.07148		233.16232697211
2.006723	252.001419444509
1.983204	242.519592834311
2.13366		277.186188497093
2.077279	281.861842995068
2.102409	272.661924115928
2.168455	264.544319386435
2.18553		293.230061181772
2.226124	312.308119463242
2.170066	281.637866982981
2.266396	315.695305748775
2.313111	348.506716208278
2.16781		381.727274013831
2.308278	443.168466779386
2.489018	483.67913377141
2.512215	462.449418824569
2.640118	472.092126937681
2.757712	479.692022109911
2.59598		489.003048028305
2.592114	490.010261234171
2.711641	492.518100148177
2.704553	487.16483999827
2.245454	367.329742853844
2.263174	395.889827980309
1.973217	208.6491163288
1.97515		245.381787627848
2.010911	240.935853218144
2.095321	347.767491908631
1.951631	255.624805417559
2.048284	247.396498587921
2.158145	264.550222037667
2.073413	312.842011529031
2.083078	292.709797476196
2.048928	272.980469377124
1.879142	194.462965590169
1.943899	258.260555456968
1.929079	227.865887795261
2.052472	268.396673959485
2.06697		278.23184729916
2.07438		267.936232945581
1.913937	217.845078286728
2.007367	223.421879490775
1.840481	161.373772575306
1.888485	181.168033367407
1.867221	197.881793212629
1.838548	175.77736212964
1.902016	180.181330560416
1.920058	208.784643676548
1.956142	209.001353536326
1.778623	169.006722506739
1.77218		130.1909973139
1.823728	175.131037547886
1.793443	147.041120503767
1.822439	173.551158156772
1.994803	280.058292167522
2.013166	258.823099909612
2.075024	269.656005213297
1.974828	255.125740257382
1.943577	242.956209007004
1.913937	249.4242376
1.959041	246.766404005357
2.066325	271.795559493939
2.104986	361.851619577036
2.331475	442.44418199918
2.275094	464.716030629315
2.411697	480.769410248868
2.368525	475.892946763115
2.382379	433.661679505628
2.377224	470.514261082817
2.451002	516.572366040057
2.347906	450.142489402
2.467111	502.846729150154
1.823728	141.163489739275
1.8582		177.841680816907
1.857878	192.118475614491
1.685837	174.999072729557
1.852401	224.113084088668
1.947121	314.210222026654
2.038618	313.31456005107
2.155246	289.081644601989
2.367236	381.180529997318
1.901372	227.802115829784
2.0122		288.083181022427
2.14107		314.163878709574
2.134626	349.407528497912
1.982238	321.370517770969
1.946154	277.203403697777
2.026053	280.544148115018
2.035074	301.188840361452
2.067614	331.046444956788
1.971606	300.733837857594
2.134949	326.796994299298
2.020576	274.161664144545
2.062459	332.408664947511
2.058915	339.187771460762
2.118518	374.385127209083
2.21066		361.354931483209
2.176187	366.420578623222
1.918769	275.533195379018
1.924246	276.192775084875
2.084689	322.668799287892
2.183597	362.776858792588
