Pressure_V	Force_N
1.996413	169.087837719561
2.114329	243.168012330183
2.107241	238.889458484169
2.054405	241.522054007883
2.027664	185.325590899228
2.058593	235.733107796052
2.135271	242.329175058345
2.107886	215.200518031497
2.058915	226.554180348561
2.164589	278.287234174549
2.043773	205.647797866881
2.127538	266.049998895737
2.187463	315.570003801352
2.227413	324.847344076493
2.177798	278.391438295086
2.170066	300.522961664849
2.184241	313.968839203584
2.223224	293.198352069756
2.24481		321.80160676793
2.239333	361.627222469573
2.344684	411.182222498024
2.565374	458.421720033783
2.510926	439.360730672519
2.520269	434.800042447177
2.552809	422.977229261157
2.487085	423.209079484938
2.528968	412.951992470679
2.689733	469.734904619623
2.582771	461.811030864374
2.583738	476.336848716823
2.123028	243.376448051073
2.145258	272.402749841501
2.125928	276.794135360921
2.208727	279.977615065886
2.185852	247.328568464438
2.139781	220.356283252484
2.194229	259.047698320155
2.051505	267.911081486928
2.223869	269.438149313605
2.346939	329.804756620293
2.203572	267.443189352766
2.243521	301.046566309888
2.308601	324.980592498
2.325998	311.87860212865
2.296358	293.329117289362
2.349195	326.132076058738
2.350161	317.786638961686
2.316977	304.236249201104
2.183597	293.142962625163
2.343396	324.866347669797
2.301835	338.535631742496
2.501583	422.922372335614
2.459378	443.178845903386
2.545721	498.985333099671
2.632386	525.748505799902
2.659449	524.037767674597
2.603068	508.086549342007
2.660415	520.472277798653
2.463889	444.8652766734
2.654938	504.251946788965
2.286048	387.549235745455
2.538633	484.392623257041
2.614989	526.567296727683
2.643662	517.662592268659
2.583093	458.534566991203
2.670081	518.301028037799
2.552165	510.899508081017
2.78413		519.703705937604
2.766411	516.347976553225
2.896892	593.181660989317
2.330509	391.86500559888
2.379157	407.056349151903
2.317299	487.839823931778
2.556997	453.765996823592
2.709708	465.332477712983
2.691344	471.565286542551
2.45519		484.111406430384
2.497395	454.329448141078
2.630453	532.630228453405
2.58857		461.167063518891
2.328575	326.808949171217
2.482575	387.327428476316
2.605646	406.544882221158
2.617244	425.628406820677
2.581483	431.205078300426
2.607579	402.931742295496
2.541533	401.08372909107
2.575361	381.21302995073
2.486441	442.300142923222
2.40332		393.034023971929
2.280249	317.978846801015
2.44778		386.340270769092
2.60629		449.522373856346
2.539278	468.069013666323
2.398165	430.313468570558
2.557964	405.105035027954
2.704231	468.223349806299
2.466144	496.556439388381
2.636897	460.041064881249
2.756746	463.923106471535
2.250287	294.35974522662
2.374002	417.99944934736
2.337274	423.890557086256
2.542177	422.787240744897
2.379801	429.60207364931
2.488696	481.630799756691
2.341462	476.097842748452
2.402031	434.378261234756
2.401387	391.59160605628
2.477742	414.681117826829
2.198739	246.867661297702
2.242877	265.415801006191
2.274128	297.23606707447
2.305701	301.109050074756
2.309245	318.4830677051
2.38109		371.23989894111
2.279283	319.688175547466
2.275739	339.276601361575
2.251576	373.468095206539
2.368525	426.539985250907
2.375613	377.007465384822
2.570529	476.800709111375
2.706486	498.388680871751
2.628842	501.548270319635
2.618211	512.333672595207
2.688122	537.781943156535
2.652683	529.265982416171
2.561508	513.693648459198
2.748369	579.428867302483
2.742248	586.90934943266
2.27735		363.923598836181
2.496429	485.019947217803
2.497717	412.583736033248
2.559575	422.519067566907
2.521558	419.329890734554
2.525424	434.798199163737
2.603068	436.70106146091
2.602424	444.366208200193
2.578905	438.05288681625
2.585027	507.174045383067
2.268651	282.237543083824
2.221291	295.509548627452
2.208727	292.251468871322
2.27445		308.850441591405
2.165233	235.620953508092
2.266074	287.767377928769
2.186174	311.395415173189
2.232245	314.608262542354
2.320843	346.20851018599
2.294425	300.239910924425
2.105631	235.808037318426
2.142036	303.055063072738
2.371425	364.76072911865
2.376902	362.540921150403
2.340174	354.080804151997
2.217425	296.675631629851
2.275739	296.519986829919
2.202283	288.904264226508
2.286693	326.850653166768
2.381412	346.800105783712
2.081468	282.52100121833
2.396232	424.72371083259
2.360793	429.413471899938
2.555386	471.508478540846
2.494173	440.450826401749
2.538311	473.364903157582
2.537345	467.001757009329
2.55152		477.927388950614
2.679424	495.612011352972
2.555064	493.188088332263
2.29217		342.550620856921
2.393655	392.506872329534
2.416207	452.268681408966
2.587926	466.660332720081
2.58857		460.136900090792
2.405575	417.230519842131
2.665248	455.149002536059
2.651395	486.208677215526
2.692311	474.354402951994
2.662671	451.816835592465
2.318266	377.448936709651
2.452291	446.396309411667
2.62852		518.40079178378
2.811515	522.436189917763
2.675235	484.84983323199
2.652361	480.697210405493
2.715507	492.623229235245
2.693922	505.72935552452
2.528324	462.828527488244
2.675235	529.081500030281
2.260274	322.089752737083
2.457123	419.613551829963
2.510282	444.266215655736
2.521558	452.995836344822
2.512215	441.669120872376
2.535412	429.555052903552
2.604357	458.219626305103
2.584382	447.588285499083
2.629164	494.782791191944
2.755779	502.518224948501
2.469366	412.996213870744
2.625621	466.545666248125
2.620466	438.459305186195
2.607579	478.125532355858
2.731938	500.954455173647
2.685545	498.514877559584
2.597914	505.504175989333
2.80926		544.547377172095
2.624976	475.461458943274
2.869185	505.595428918128
